,week,product_analytic_sub_category,gmv,units,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day
0,1,CameraAccessory,4067.0,10,4.0,1047.7,2.0,2.0,52.46525212690091,406.7,10.0,0,54.59958809237621,1177.0,17.061775442667845,0.0157979121895126,0.18583704192238235,0.5439551908923396,6.844294528738964e-05,0.09737702612766432,0.040149817582814544,0.3685685038340599,0.0,0.0,0
1,1,GamingAccessory,7758.0,9,5.555555555555555,1200.6666666666667,1.8888888888888888,3.6666666666666665,32.48762999923784,862.0,9.0,0,54.599588092376216,1177.0,17.06177544266784,0.010087698800970732,0.11866556051760166,0.34734058913108523,4.37039913140451e-05,0.06217974235622343,0.025637518542369335,0.23534806432653874,0.0,0.0,1
2,1,HomeAudio,12581.0,8,6.125,2769.375,2.25,3.875,43.491648912164365,1572.625,8.0,0,54.599588092376216,1177.0,17.06177544266784,0.014482293592173862,0.17036090396854503,0.49865568823198314,6.274315340371886e-05,0.08926766173885975,0.0368062209063642,0.3378748544314952,0.0,0.0,1
3,2,CameraAccessory,1003905.0,1780,6.857974388824214,1128.6135040745053,2.041909196740396,4.816065192083818,46.49903322560011,571.6152502910361,515.0,0,54.59958809237412,1177.0,17.061775442667617,0.015797912189512448,0.1858370419223775,0.5439551908923461,6.844294528739119e-05,0.09737702612766537,0.04014981758281512,0.3685685038340562,0.0,0.0,0
4,2,GamingAccessory,763139.0,1326,6.538880248833593,1027.6671850699845,2.1897356143079314,4.349144634525661,40.221891563593786,583.0116640746501,305.0,0,54.599588092374546,1177.0,17.06177544266763,0.010087698800970848,0.11866556051759929,0.34734058913108,4.370399131404424e-05,0.06217974235622245,0.025637518542368665,0.23534806432653896,0.0,0.0,0
5,2,HomeAudio,1165624.0,909,7.490628445424476,1988.2337375964719,1.9106945975744212,5.5799338478500555,32.634070467132354,1284.111356119074,190.0,0,54.59958809237524,1177.0,17.06177544266766,0.014482293592173798,0.17036090396854375,0.4986556882319763,6.274315340371781e-05,0.08926766173885907,0.03680622090636382,0.33787485443149967,0.0,0.0,0
6,3,CameraAccessory,1097503.0,1990,6.54253112033195,1186.3853734439833,2.0446058091286305,4.4979253112033195,47.7610847862584,557.9953319502075,593.0,1,54.599588092373985,1177.0,17.061775442667624,0.015797912189512445,0.18583704192237502,0.5439551908923462,6.844294528739054e-05,0.09737702612766631,0.04014981758281513,0.36856850383405143,0.0,0.0,1
7,3,GamingAccessory,783978.3591979076,1650,5.873139158576052,855.3961165048544,2.283495145631068,3.589644012944984,46.216749687077915,494.61770821871045,328.0,1,54.59958809237426,1177.0,17.06177544266762,0.010087698800970919,0.11866556051759916,0.34734058913108246,4.3703991314044684e-05,0.06217974235622227,0.02563751854236853,0.23534806432654223,0.0,0.0,1
8,3,HomeAudio,1441028.0,1081,7.1832558139534886,2063.208372093023,1.7488372093023257,5.434418604651163,32.42673518727237,1337.0046511627907,209.0,1,54.59958809237487,1177.0,17.061775442667646,0.014482293592173796,0.17036090396854367,0.49865568823197687,6.274315340371824e-05,0.08926766173885903,0.03680622090636381,0.33787485443150045,0.0,0.0,1
9,4,CameraAccessory,1092921.0,1991,6.563758389261745,1150.0418172431596,2.0686628807434175,4.495095508518327,45.39902650074175,553.1202891068663,551.0,0,54.59958809237398,1177.0,17.061775442667642,0.015797912189512445,0.1858370419223749,0.5439551908923462,6.844294528739048e-05,0.09737702612766636,0.04014981758281513,0.36856850383405126,0.0,0.0,0
10,4,GamingAccessory,765301.0,1303,6.0,1002.6968,2.0904,3.9096,39.750239194962596,599.2848,247.0,0,54.59958809237459,1177.0,17.061775442667635,0.010087698800970836,0.1186655605175993,0.34734058913108007,4.370399131404425e-05,0.062179742356222485,0.02563751854236869,0.2353480643265384,0.0,0.0,0
11,4,HomeAudio,1230725.0,983,7.18014329580348,1942.1535312180142,1.728761514841351,5.451381780962129,31.33562561548387,1255.9846468781986,170.0,0,54.59958809237507,1177.0,17.061775442667653,0.014482293592173796,0.17036090396854373,0.49865568823197537,6.274315340371777e-05,0.08926766173885906,0.03680622090636381,0.3378748544315,0.0,0.0,0
12,5,CameraAccessory,747530.0,1343,6.480339244410177,1144.9653045489592,2.1017733230532,4.378565921356977,45.26323313220467,564.6823438704703,349.0,0,54.59958809237453,1177.0,17.06177544266763,0.01579791218951245,0.1858370419223831,0.5439551908923457,6.844294528739095e-05,0.09737702612766273,0.040149817582815085,0.3685685038340663,0.0,0.0,0
13,5,GamingAccessory,551707.0,894,6.30035335689046,1047.5712603062427,2.136631330977621,4.163722025912839,41.4547175895516,630.7349823321555,135.0,0,54.599588092375406,1177.0,17.061775442667667,0.010087698800970631,0.11866556051759965,0.34734058913108057,4.370399131404444e-05,0.062179742356223006,0.025637518542369085,0.23534806432653696,0.0,0.0,0
14,5,HomeAudio,916000.0,710,7.299435028248587,1990.4632768361582,1.7274011299435028,5.572033898305085,30.219718422019977,1291.957627118644,130.0,0,54.59958809237591,1177.0,17.061775442667685,0.0144822935921738,0.17036090396854392,0.49865568823198,6.274315340371794e-05,0.08926766173885915,0.03680622090636383,0.3378748544314984,0.0,0.0,0
15,6,CameraAccessory,699.0,1,5.0,1450.0,4.0,1.0,51.79310344827586,699.0,0.0,0,59.987101024,1206.0,5.064306089216936,0.0004723355684191108,0.09376713280930123,0.07801238021094112,4.6404940970183234e-07,0.009482132540484018,0.005405897682083955,0.1844074540861366,0.0,0.0,0
16,6,GamingAccessory,1441.0,3,7.0,891.6666666666666,2.6666666666666665,4.333333333333333,56.27323656735422,480.3333333333333,1.0,0,59.987101024,1206.0,5.064306089216936,0.00030160814226834216,0.05987465823735751,0.049814518834786804,2.963170460554873e-07,0.006054780904706198,0.003451916108378574,0.11775270245581597,0.0,0.0,0
17,6,HomeAudio,2599.0,1,9.0,3099.0,2.0,7.0,16.134236850596963,2599.0,1.0,0,59.987101024,1206.0,5.064306089216936,0.0004330004049783829,0.08595839313134927,0.07151566488571554,4.254043010213903e-07,0.008692479467151138,0.004955705312323768,0.1690503693541005,0.0,0.0,0
18,7,GamingAccessory,1322.0,1,5.0,1995.0,4.0,1.0,33.734335839599,1322.0,0.0,0,59.987101024,1206.0,5.064306089216936,0.00030160814226834216,0.05987465823735751,0.049814518834786804,2.963170460554873e-07,0.006054780904706198,0.0034519161083785737,0.11775270245581596,0.0,0.0,0
19,8,GamingAccessory,359.0,1,3.0,699.0,3.0,0.0,48.640915593705294,359.0,0.0,0,59.987101024,1206.0,5.064306089216936,0.00030160814226834216,0.05987465823735751,0.049814518834786804,2.963170460554873e-07,0.006054780904706198,0.0034519161083785737,0.11775270245581596,0.0,0.0,0
20,9,GamingAccessory,614.0,2,6.5,674.5,3.5,3.0,41.89117689117689,307.0,0.0,1,59.987101024,1206.0,5.064306089216936,0.00030160814226834216,0.05987465823735751,0.049814518834786804,2.963170460554873e-07,0.006054780904706198,0.0034519161083785737,0.11775270245581596,0.0,0.0,0
21,10,CameraAccessory,557495.0,1003,6.313965341488277,1145.407747196738,2.0652395514780837,4.248725790010194,45.911987826689035,561.3455657492354,245.0,0,46.991991991732604,1101.5351681957186,95.78959865276727,0.2831753248019685,0.09949364474815418,4.583396926408365,0.04454647178996717,1.1956573581057661,0.3677809265751339,0.45364746116460425,0.0,0.0,1
